userid,pagetype,member_tier,log_in_status,page_duration,start_time
a1,Product,NULL,N,20,11/1/2019 10:20
a2,Other,NULL,N,180,11/1/2019 10:21
ab,Homepage,NULL,N,60,11/1/2019 10:21
ab,Register,NULL,N,135,11/1/2019 10:21
ab,Checkout,Base,Y,1130,11/1/2019 10:21
ee,Other,NULL,N,60,11/1/2019 10:22
7,Homepage,NULL,N,240,11/1/2019 10:25
d2,Homepage,Base,Y,60,11/1/2019 10:26
1e,Product,NULL,N,150,11/1/2019 10:27
1e,Product,NULL,N,15,11/1/2019 10:28
1e,Product,NULL,N,60,11/1/2019 10:28
1e,Product,NULL,N,200,11/1/2019 10:28
1e,Other,NULL,N,60,11/1/2019 10:28
1e,Product,NULL,N,60,11/1/2019 10:29
1e,Other,NULL,N,60,11/1/2019 10:29
65,Other,NULL,N,180,11/1/2019 10:31
c4,Category,NULL,N,60,11/1/2019 10:31
e7,Cart,Base,Y,90,11/1/2019 10:32
22,Other,NULL,N,40,11/1/2019 10:35
65,Homepage,NULL,N,30,11/1/2019 10:36
2c,Product,NULL,N,150,11/1/2019 10:37
df,Product,NULL,N,20,11/1/2019 10:38
df,Homepage,NULL,N,60,11/1/2019 10:38
df,Other,NULL,N,60,11/1/2019 10:39
df,Checkout,NULL,N,60,11/1/2019 10:39
df,Other,Base,Y,30,11/1/2019 10:39
df,Register,Base,Y,1080,11/1/2019 10:39
df,Product,NULL,N,60,11/1/2019 10:40
df,Category,NULL,N,60,11/1/2019 10:40
df,Product,NULL,N,200,11/1/2019 10:41
df,Checkout,NULL,N,24,11/1/2019 10:41
85,Homepage,NULL,N,60,11/1/2019 10:43
85,Homepage,NULL,Y,80,11/1/2019 10:43
99,Other,NULL,N,120,11/1/2019 10:43
b1,Register,Base,Y,102,11/1/2019 10:43
7d,Homepage,NULL,N,74,11/1/2019 10:46
41,Category,NULL,N,60,11/1/2019 10:47
a5,SearchResult,NULL,N,60,11/1/2019 10:49
1a,Category,NULL,N,180,11/1/2019 10:50
6c,Homepage,NULL,N,120,11/1/2019 10:50
e4,Category,NULL,N,90,11/1/2019 10:50
c1,SearchResult,NULL,N,60,11/1/2019 10:51
b7,Category,NULL,N,210,11/1/2019 10:53
6b,Other,NULL,N,1430,11/1/2019 10:54
fa,Other,NULL,N,120,11/1/2019 10:55
c9,Product,Elite,Y,30,11/1/2019 10:56
ca,Homepage,Base,Y,250,11/1/2019 10:56
cc,Other,NULL,N,90,11/1/2019 10:56
cc,Product,NULL,N,60,11/1/2019 10:56
5b,Product,NULL,N,120,11/1/2019 10:57
5b,Other,NULL,N,330,11/1/2019 10:57
5b,Product,NULL,N,120,11/1/2019 10:57
65,Other,NULL,N,30,11/1/2019 10:57
cc,Category,NULL,N,70,11/1/2019 10:57
cc,Product,NULL,N,72,11/1/2019 10:57
cc,Checkout,Base,Y,210,11/1/2019 10:57
cc,Other,NULL,N,60,11/1/2019 10:57
5b,Other,NULL,N,60,11/1/2019 10:58
5b,Category,NULL,N,30,11/1/2019 10:58
5b,Product,NULL,N,60,11/1/2019 10:58
5b,Product,NULL,N,60,11/1/2019 10:58
65,Other,NULL,N,60,11/1/2019 10:58
5b,Homepage,NULL,N,60,11/1/2019 10:59
5b,Product,NULL,N,60,11/1/2019 10:59
5b,Other,NULL,N,1500,11/1/2019 10:59
5b,Other,NULL,N,-60,11/1/2019 11:00
5b,Product,NULL,N,200,11/1/2019 11:00
5c,Product,NULL,N,70,11/1/2019 11:00
5c,Category,NULL,N,180,11/1/2019 11:00
7b,Product,NULL,N,60,11/1/2019 11:01
84,Product,NULL,N,240,11/1/2019 11:05
85,Other,NULL,N,160,11/1/2019 11:05
